127.0.0.1 - - [24/Jun/2016:13:59:38 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/js/json2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/js/flexigrid/flexiManage.js?150120 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/js/lang.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/css/login1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/login_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/i_dot.32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/slide_btn_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/i_dot_hover.32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/banner1_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/banner2_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/banner3_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:56 +0800] "GET /WebGps/808gps/images/home/banner_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:57 +0800] "GET /WebGps/808gps/rand.action?d=1466747996570 HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:57 +0800] "POST /WebGps/808gps/StandardLoginAction_information.action HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:57 +0800] "POST /WebGps/808gps/LoginAction_download.action?language=zh HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [24/Jun/2016:13:59:57 +0800] "GET /WebGps/808gps/images/home/bg_download_btns.png?v20150106 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/StandardLoginAction_login.action?account=admin&password=admin888&language=zh&verificationCode=6928&_=1466747996486 HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/index.html?lang=zh HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/css/pageManagement.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/lhgdialog.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/public.js?150120 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/public.js?150530 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/myajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/hashtable.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/lineStationManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/flexiManage.js?150530 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/standardDevice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/standardStatus.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/userRole.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/vehicleManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/vehicleDevice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/skins/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/css/index1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/images/menu-ico.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/images/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "POST /WebGps/808gps/StandardLoginAction_getNavPage.action?clientLogin= HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/images/icon_s_for.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/Location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/skins/icons/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/flexiManage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/flexigrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/bin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/css/labelIcon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/css/jqueryUITip.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/dxtree/dhtmlxtree.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/flexiManage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/flexigrid.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/dxtree/css/dhtmlxmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/css/location.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/dxtree/dhtmlxcommon.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/dxtree/dhtmlxtree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/dxtree/dhtmlxmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/company_tree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/vehicleAlarm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/js/date.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/ttxline/ttxlineapi.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/ttxmap/ttxmapapi.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/ttxvideo/ttxvideoapi.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorTreeMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorStatus.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorAlarmMotion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorAlarm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorMedia.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorpaneinfo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorMapTip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/monitorLine.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/LocationManagement/js/location.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/images/icon_s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/images/icon_state.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/ttxvideo/ttxvideo.html?150701 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/ttxmap/ttxmap.html?rectSearch=1&150613 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/808gps/ttxline/ttxline.html?150701 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "GET /WebGps/js/flexigrid/images/line.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:09 +0800] "POST /WebGps/808gps/StandardLoginAction_getUserVehicleEx.action?toMap=2 HTTP/1.1" 200 2218
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxvideo/swfobject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxvideo/ttxplayer.js?150701 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxvideo/ttxvideo.js?150701 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/myMap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/ttxmap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "POST /WebGps/808gps/LocationManagement/StandardLoginAction_getGateStoServer.action HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/css/gj.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/ttxline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/jquery.bxslider.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/common/vehicleContext.xml?dhxr1466748010033=1 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "POST /WebGps/808gps/LocationManagement/StandardAlarmMotionAction_findAlarmMotion.action HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/common/vehicleContext.xml?dhxr1466748010037=1 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/common/vehicleContext.xml?dhxr1466748010038=1 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_findAlarmShield.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/plus2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/iconUncheckAll.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/all_group.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/plus3.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/minus2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/group.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/team.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/js/dxtree/imgs/minus5.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxvideo/player/player.swf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "POST /WebGps/808gps/ttxvideo/StandardLoginAction_getLoginServer.action HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/images/vehicle/10/stopaccon/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/images/vehicle/10/offline/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "POST /WebGps/808gps/StandardLoginAction_listMarker.action HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/car_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/lx_box0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/car_people.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/car_zk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/car_people_lv.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/lx_box1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/icon_gj_arow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxline/images/btn_sj0_03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/mapmarker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/GeoUtils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/DrawingManager.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/DistanceTool.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/mapframe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/namemarker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/popupmarker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/TextIconOverlay.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/MarkerClusterer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxmap/baidu/js/RectangleZoom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:10 +0800] "GET /WebGps/808gps/ttxvideo/player/cn.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:30 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:30 +0800] "GET /WebGps/js/dxtree/imgs/iconCheckGray.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:30 +0800] "GET /WebGps/js/dxtree/imgs/iconCheckAll.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:30 +0800] "GET /WebGps/808gps/ttxmap/google/image/marker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:30 +0800] "GET /WebGps/808gps/ttxmap/google/image/iw_close.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:30 +0800] "GET /WebGps/808gps/ttxmap/google/image/10/stopaccon/8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:40 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:50 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:00:56 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:01:11 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:01:12 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:01:29 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:01:32 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:01:46 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:01:53 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:03 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:14 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:20 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:35 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:37 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:54 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:02:56 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:03:11 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:03:17 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:03:28 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:03:38 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:03:45 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:03:59 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_alarm.action?toMap=2 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:04:02 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [24/Jun/2016:14:04:19 +0800] "POST /WebGps/808gps/LocationManagement/StandardPositionAction_statusEx.action?toMap=2 HTTP/1.1" 200 475
